Consumer Price Index for All Urban Consumers (CPI-U);;;;;;;;;;;;;;;
Original Data Value;;;;;;;;;;Año;Indice promedio;Deflactor;;;
;;;;;;;;;;2021;270,97;1,188114171;;;
Series Id:;CUUR0000SA0;;;;;;;;;2022;292,65;1,100077196;;;
Not Seasonally Adjusted;;;;;;;;;;2023;304,70;1,056584598;;;
Series Title:;All items in U.S. city average, all urban consumers, not seasonally adjusted;;;;;;;;;2024;313,69;1,026313231;;;
Area:;U.S. city average;;;;;;;;;2025;321,94;1;;;
Item:;All items;;;;;;;;;;;;;;
Base Period:;1982-84=100;;;;;;;;;;;;;;
Years:;2016 to 2026;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;HALF1;HALF2;
2016;236,916;237,111;238,132;239,261;240,229;241,018;240,628;240,849;241,428;241,729;241,353;241,432;238,778;241,237;240,007
2017;242,839;243,603;243,801;244,524;244,733;244,955;244,786;245,519;246,819;246,663;246,669;246,524;244,076;246,163;245,120
2018;247,867;248,991;249,554;250,546;251,588;251,989;252,006;252,146;252,439;252,885;252,038;251,233;250,089;252,125;251,107
2019;251,712;252,776;254,202;255,548;256,092;256,143;256,571;256,558;256,759;257,346;257,208;256,974;254,412;256,903;255,657
2020;257,971;258,678;258,115;256,389;256,394;257,797;259,101;259,918;260,280;260,388;260,229;260,474;257,557;260,065;258,811
2021;261,582;263,014;264,877;267,054;269,195;271,696;273,003;273,567;274,310;276,589;277,948;278,802;266,236;275,703;270,970
2022;281,148;283,716;287,504;289,109;292,296;296,311;296,276;296,171;296,808;298,012;297,711;296,797;288,347;296,963;292,655
2023;299,170;300,840;301,836;303,363;304,127;305,109;305,691;307,026;307,789;307,671;307,051;306,746;302,408;306,996;304,702
2024;308,417;310,326;312,332;313,548;314,069;314,175;314,540;314,796;315,301;315,664;315,493;315,605;312,145;315,233;313,689
2025;317,671;319,082;319,799;320,795;321,465;322,561;323,048;323,976;324,800;;324,122;324,054;320,229;324,000;321,943
2026;325,252;326,785;330,213;333,020;335,123;333,952;;;;;;;330,724;;
https://data.bls.gov/pdq/SurveyOutputServlet;;;;;;;;;;;;;;;
