;;;Campaña;Cebada total;Girasol;Maíz;Soja total;Trigo total;Cantidades producidas;Cantidades exportadas;% Exportado
;;;2021;4.036.130;3.247.366;60.525.805;46.217.911;17.644.277;131.671;101.902;77%
;;;2022;5.279.608;4.050.362;59.037.179;43.861.066;22.150.287;134.379;96.114;72%
;;;2023;4.695.914;5.018.874;41.409.448;25.044.978;12.555.860;88.725;57.018;64%
;;;2024;5.097.340;3.895.156;57.494.500;48.213.207;15.853.154;130.553;91.281;70%
;;;2025;4.823.506;5.592.450;51.690.950;51.107.836;18.510.280;131.725;103.088;78%
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;"Gráfico 6. Cantidades exportadas
contra cantidades producidas
en toneladas";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
https://app.powerbi.com/view?r=eyJrIjoiMGEyNDY4ZDctYmE2YS00NmRiLTg5MzYtMjcwMzdmZTc1MzlkIiwidCI6ImNiODg0ZGI1LTI0ODUtNGY5Yi05MzhlLTNlNjIxZjIyMjU3YiIsImMiOjR9;;;;;;;;;;;
