Año;2018;2018%;2019;2019%;2020;2020%;2021;2021%;2022;2022%;2023;2023%;Columna1;2024;2024%;2025;2025%;;;;;
Oleaginoso;16.693;46,40%;18.867;46,54%;16.730;45,29%;26.389;50,69%;28.028;49,51%;16.764;45,59%;;22.597;49,00%;25.046;49,8%;;;;;
Cerealero;8.151;22,66%;10.076;24,86%;9.539;25,82%;13.941;26,78%;16.110;28,46%;9.389;25,53%;;11.452;24,83%;11.670;23,2%;;;;;
Bovino;3.966;11,02%;4.830;11,91%;4.370;11,83%;4.772;9,17%;5.751;10,16%;4.751;12,92%;;5.085;11,03%;6.249;12,4%;;;;;
Frutícola;2.605;7,24%;2.304;5,68%;2.169;5,87%;2.164;4,16%;2.021;3,57%;1.812;4,93%;;2.125;4,61%;2.237;4,4%;;;;;
Pesquero;2.155;5,99%;1.863;4,60%;1.730;4,68%;1.990;3,82%;1.837;3,25%;1.781;4,84%;;2.013;4,36%;2.091;4,2%;;;;;
Hortícola;813;2,26%;880;2,17%;894;2,42%;929;1,79%;928;1,64%;868;2,36%;;976;2,12%;1.047;2,1%;;;;;
Complejo forestal;669;1,86%;691;1,70%;606;1,64%;861;1,65%;793;1,40%;628;1,71%;;744;1,61%;821;1,6%;;;;;
Complejo azucarero;121;0,34%;158;0,39%;163;0,44%;217;0,42%;218;0,38%;147;0,40%;;422;0,92%;439;0,9%;;;;;
Complejo avícola;326;0,91%;451;1,11%;332;0,90%;340;0,65%;424;0,75%;215;0,59%;;260;0,56%;257;0,5%;;;;;
Complejo miel;180;0,50%;152;0,37%;173;0,47%;223;0,43%;252;0,45%;187;0,51%;;191;0,41%;216;0,4%;;;;;
Complejo yerba mate;100;0,28%;86;0,21%;94;0,25%;79;0,15%;94;0,17%;91;0,25%;;102;0,22%;117;0,2%;;;;;
Complejo equino;104;0,29%;92;0,23%;60;0,16%;70;0,13%;75;0,13%;62;0,17%;;68;0,15%;69;0,1%;;;;;
Complejo té;95;0,26%;89;0,22%;78;0,21%;81;0,16%;81;0,14%;76;0,21%;;82;0,18%;67;0,1%;;;;;
Otros complejos;1.594;4,43%;1.718;4,24%;1.505;4,07%;1.871;3,59%;1.937;3,42%;1.406;3,82%;;1.869;4,05%;1.986;3,9%;;;;;
Total;35.976;100,00%;40.538;100,00%;36.938;100,00%;52.056;100,00%;56.613;100,00%;36.771;100,00%;;46.116;100,00%;50.327;100,00%;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;"Gráfico 1. Composición de las exportaciones del
sector agropecuario en sus distintos complejos 2025";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Año;2021;2025;2021 D;Variacion;;"Gráfico 2. Evolución de las exportaciones de los
complejos del sector agropecuario y agroindustrial 2021-2025";;;;Año;Indice promedio;Deflactor
;;;;;;;;;;Oleaginoso;26.389;25.046;31.353;-20%;;;;;;2025;321,943;1,188114171
;;;;;;;;;;Cerealero;13.941;11.670;16.564;-30%;;;;;;;;
;;;;;;;;;;Bovino;4.772;6.249;5.669;10%;;;;;;;;
;;;;;;;;;;Frutícola;2.164;2.237;2.571;-13%;;;;;;;;
;;;;;;;;;;Pesquero;1.990;2.091;2.364;-12%;;;;;;;;
;;;;;;;;;;Hortícola;929;1.047;1.104;-5%;;;;;;;;
;;;;;;;;;;Complejo forestal;861;821;1.023;-20%;;;;;;;;
;;;;;;;;;;Complejo azucarero;217;439;257;71%;;;;;;;;
;;;;;;;;;;Complejo avícola;340;257;404;-36%;;;;;;;;
;;;;;;;;;;Complejo miel;223;216;265;-19%;;;;;;;;
;;;;;;;;;;Complejo yerba mate;79;117;94;24%;;;;;;;;
;;;;;;;;;;Complejo equino;70;69;83;-17%;;;;;;;;
;;;;;;;;;;Complejo té;81;67;96;-30%;;;;;;;;
;;;;;;;;;;Otros complejos;1.871;1.986;2.223;-11%;;;;;;;;
;;;;;;;;;;Total;52.056;50.327;61.848;-19%;;;;;;;;
