Cultivo;Campaña;Producción;;;;;;;;;;;;;;;;
Cebada total;2017/18;3741158;;;Campaña;Cebada total;Girasol;Maíz;Soja total;Trigo total;;;;;;;;
Cebada total;2018/19;4636957;;;2017/18;3.741.158;3.537.545;43.462.323;37.785.927;18.518.045;;;;;;;;
;;;;;107.044.998;3%;3%;41%;35%;17%;;;;;;;;
Cebada total;2019/20;3612804;;;2018/19;4.636.957;3.530.157;56.860.704;55.263.891;19.459.727;;;;;;;;
;;;;;139.751.436;3%;3%;53%;52%;18%;;;;;;;;
Cebada total;2020/21;4036130;;;2019/20;3.612.804;2.857.413;58.395.811;48.780.407;19.776.942;;;;;;;;
;;;;;133.423.377;3%;3%;55%;46%;18%;;;;;;;;
Cebada total;2021/22;5279608;;;2020/21;4.036.130;3.247.366;60.525.805;46.217.911;17.644.277;;;;;;;;
;;;;;131.671.489;3%;3%;57%;43%;16%;;;;;;;;
Cebada total;2022/23;4695914;;;2021/22;5.279.608;4.050.362;59.037.179;43.861.066;22.150.287;;;;;;;;
;;;;;134.378.502;4%;3%;44%;33%;16%;;;Gráfico 5. Cantidades producidas por cultivo entre 2021 y 2025 en toneladas;;;;;
Cebada total;2023/24;5097340;;;2022/23;4.695.914;5.018.874;41.409.448;25.044.978;12.555.860;;;;;;;;
;;;;;88.725.074;5%;6%;47%;28%;14%;;;;;;;;
Cebada total;2024/25;4823506;;;2023/24;5.097.340;3.895.156;57.494.500;48.213.207;15.853.154;;;;;;;;
;;;;;130.553.357;4%;3%;44%;37%;12%;;;;;;;;
Cebada total;2025/26;5571445;;;2024/25;4.823.506;5.592.450;51.690.950;51.107.836;18.510.280;;;;;;;;
;;;;;131.725.022;4%;4%;39%;39%;14%;;;;;;;;
Girasol;2017/18;3537545;;;2025/26;5.571.445;;;;27.886.449;;;;;;;;
Girasol;2018/19;3530157;;;;;;;;;;;;;;;;
Girasol;2019/20;2857413;;;;;;;;;;;;;;;;
Girasol;2020/21;3247366;;;;;;;;;;;;;;;;
Girasol;2021/22;4050362;;;;;;;;;;;;;;;;
Girasol;2022/23;5018874;;;;;;;;;;;;;;;;
Girasol;2023/24;3895156;;;Campaña;Cebada total;Girasol;Maíz;Soja ;Trigo total;;;;;;;;
Girasol;2024/25;5592450;;;2020/21;4.036.130;3.247.366;60.525.805;46.217.911;17.644.277;;;;;;;;
Maíz;2017/18;43462323;;;2024/25;4.823.506;5.592.450;51.690.950;51.107.836;18.510.280;;;;;;;;
Maíz;2018/19;56860704;;;Variacion %;19,51%;72,21%;-14,60%;10,58%;4,91%;;;;;;;;
Maíz;2019/20;58395811;;;;;;;;;;;;;;;;
Maíz;2020/21;60525805;;;;;;;;;;;;;;;;
Maíz;2021/22;59037179;;;Campaña;Cebada total;Girasol;Maíz;Soja total;Trigo total;;;;;;;;
Maíz;2022/23;41409448;;;2020/21;4.036.130;3.247.366;60.525.805;46.217.911;17.644.277;;;;;;;;
Maíz;2023/24;57494500;;;2021/22;5.279.608;4.050.362;59.037.179;43.861.066;22.150.287;;;;;;;;
Maíz;2024/25;51690950;;;2022/23;4.695.914;5.018.874;41.409.448;25.044.978;12.555.860;;;;;;;;
Soja total;2017/18;37785927;;;2023/24;5.097.340;3.895.156;57.494.500;48.213.207;15.853.154;;;;;;;;
Soja total;2018/19;55263891;;;2024/25;4.823.506;5.592.450;51.690.950;51.107.836;18.510.280;;;;;;;;
Soja total;2019/20;48780407;;;;;;;;;;;;;;;;
Soja total;2020/21;46217911;;;;;;;;;;;;;;;;
Soja total;2021/22;43861066;;;;;;;;;;;;;;;;
Soja total;2022/23;25044978;;;;;;;;;;;;;;;;
Soja total;2023/24;48213207;;;;;;;;;;;;;;;;
Soja total;2024/25;51107836;;;;;;;;;;;;;;;;
Trigo total;2017/18;18518045;;;;;;;;;;;;;;;;
Trigo total;2018/19;19459727;;;;;;;;;;;;;;;;
Trigo total;2019/20;19776942;;;;;;;;;;;;;;;;
Trigo total;2020/21;17644277;;;;;;;;;;;;;;;;
Trigo total;2021/22;22150287;;;;;;;;;;;;;;;;
Trigo total;2022/23;12555860;;;;;;;;;;;;;;;;
Trigo total;2023/24;15853154;;;;;;;;;;;;;;;;
Trigo total;2024/25;18510280;;;;;;;;;;;;;;;;
Trigo total;2025/26;27886449;;;;;;;;;;;;;;;;
